iter	Passed	Remaining
0	143	143840
1	146	72980
2	148	49424
3	152	37881
4	155	30973
5	159	26450
6	162	23080
7	165	20558
8	168	18559
9	172	17057
10	177	15931
11	180	14850
12	183	13908
13	186	13157
14	190	12529
15	194	11937
16	197	11408
17	200	10917
18	205	10602
19	208	10209
20	211	9856
21	214	9527
22	218	9296
23	222	9036
24	224	8773
25	227	8541
26	231	8331
27	235	8160
28	238	7977
29	241	7792
30	244	7629
31	247	7497
32	250	7333
33	252	7174
34	254	7020
35	256	6870
36	258	6725
37	261	6612
38	262	6479
39	265	6361
40	266	6240
41	268	6120
42	270	6028
43	273	5935
44	274	5832
45	276	5734
46	278	5637
47	279	5544
48	281	5457
49	282	5372
50	285	5317
51	288	5253
52	289	5176
53	291	5105
54	292	5033
55	294	4964
56	295	4896
57	297	4831
58	301	4800
59	303	4755
60	305	4699
61	307	4645
62	308	4594
63	310	4541
64	312	4491
65	314	4445
66	316	4411
67	318	4368
68	320	4327
69	322	4284
70	324	4241
71	325	4198
72	327	4156
73	330	4131
74	332	4097
75	334	4061
76	335	4026
77	337	3989
78	339	3953
79	340	3920
80	342	3889
81	345	3867
82	346	3829
83	348	3805
84	350	3773
85	352	3744
86	353	3712
87	355	3685
88	357	3657
89	359	3634
90	361	3612
91	363	3589
92	365	3564
93	367	3538
94	368	3513
95	370	3488
96	372	3463
97	374	3446
98	377	3438
99	379	3417
100	381	3398
101	383	3379
102	385	3358
103	387	3335
104	389	3318
105	391	3303
106	393	3285
107	395	3263
108	396	3242
109	398	3222
110	399	3202
111	401	3182
112	402	3162
113	405	3150
114	407	3134
115	408	3115
116	410	3095
117	411	3077
118	413	3060
119	414	3042
120	416	3026
121	418	3008
122	420	2996
123	422	2983
124	423	2966
125	425	2950
126	426	2933
127	428	2918
128	430	2903
129	431	2889
130	433	2875
131	435	2864
132	437	2851
133	439	2838
134	440	2825
135	442	2813
136	444	2802
137	446	2789
138	447	2774
139	449	2762
140	451	2752
141	453	2738
142	454	2725
143	456	2714
144	458	2704
145	460	2692
146	461	2680
147	463	2668
148	465	2658
149	467	2649
150	469	2638
151	470	2626
152	472	2615
153	474	2604
154	475	2593
155	477	2583
156	479	2573
157	481	2565
158	483	2555
159	484	2544
160	485	2531
161	487	2521
162	488	2510
163	490	2501
164	492	2491
165	494	2482
166	496	2475
167	498	2466
168	499	2456
169	501	2446
170	502	2438
171	504	2428
172	506	2419
173	507	2411
174	509	2403
175	511	2396
176	513	2388
177	515	2379
178	517	2373
179	519	2365
180	520	2357
181	522	2350
182	525	2344
183	527	2337
184	529	2330
185	530	2323
186	532	2315
187	534	2308
188	536	2300
189	537	2293
190	539	2286
191	541	2280
192	543	2272
193	544	2264
194	546	2256
195	548	2249
196	550	2242
197	551	2235
198	553	2227
199	555	2220
200	557	2215
201	559	2209
202	560	2201
203	562	2193
204	563	2186
205	565	2180
206	567	2173
207	569	2167
208	571	2162
209	573	2156
